과목명,강의 내용,상세 URL
아날로그 회로설계 실무 : Analog IP 설계와 성능 개선하기,아날로그 회로설계 직무 합격자 90%가 했던 경험! [현직자가 실무에서 가장 자주 쓰는 회로 (BGR / AMP / LDO / Comparator / Oscillator / Level-Shifter / Charge-Pump) 설계 프로젝트]로 반도체 제품의 이해 + 실무 경험과  스펙 + 취업 활용법까지 얻어가세요!,https://www.inflearn.com/course/반도체-아날로그-회로설계-실무-analog-ip?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
MySQL Geospatial Query를 통한 위치 탐색과 AWS를 활용한 이미지 캐싱,"AWS (S3, CloudFront), MySQL(Geospatial Query)를 활용한 플랫폼 메스어답션 방법에 대해서 알려드립니다.",https://www.inflearn.com/course/couldfront-s3-이미지-파일-캐싱?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
B2B 마케팅을 위한 링크드인 200% 활용법 (세미나 다시보기),"B2B 마케팅의 필수 채널, 링크드인. 핵심 정보부터 실제 사례까지 - 지금 시작하는데 꼭 필요한 내용만 압축해서 알려드립니다!",https://www.inflearn.com/course/b2b-마케팅-링크드인?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
비전공자도 이해할 수 있는 Docker 입문/실전,"비전공자 입장에서도 쉽게 이해할 수 있고, 실전에서 바로 적용 가능한   Docker 입문/실전 강의를 만들어봤습니다!",https://www.inflearn.com/course/비전공자-docker-입문-실전?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
AI로 피그마에 날개 달기,"디자이너들에게 가장 각광받는 툴, Figma!
AI로 쉽게 만들어서 각광받는 UX/UI 디자이너 되기!",https://www.inflearn.com/course/ai-피그마?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
초보 강사를 위한 AI 활용 가이드,"초보 강사들이 디지털 콘텐츠 비즈니스 크리에이터로 재인식하는 것은 더 많은 학습자에게 다가갈 수 있는 기회를 제공하며, AI를 활용한 교육 콘텐츠 제작과 관리를 통해 교육의 질과 효율성을 높일 수 있습니다. 이 강의는 AI 도구 사용법과 디지털 콘텐츠 비즈니스 개발을 위한 실습을 포함하여, 강사들이 새로운 기술을 활용해 학습자들의 학습 경험을 풍부하게 만드는 방법을 가르칩니다.",https://www.inflearn.com/course/ai-활용-가이드?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
데이터 분석 및 EDA를 위한 파이썬 라이브러리,데이터 분석 전문가가 되려면 반드시 배워야 할 파이썬의 주요 라이브러리에 대해 설명합니다.,https://www.inflearn.com/course/데이터분석-eda-파이썬-라이브러리?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
[Python 초보] Flutter로 만드는 ChatGPT 음성번역앱,"Python 배우긴 했는데, 어떻게 활용할지 막막한 분을 위한 강의입니다. 프로그램 기초지식을 99.9% 활용!!! 어려운 코드를 최소화하여 기본 예제코드를 가지고 만드는 Flutter 음성번역앱에 도전해보세요. chatGPT와 대화하고, 외국인 친구와 하는 대화를 번역해주고, 음성으로 이미지를 그리고, 파인튜닝으로 대화앱을 업그레이드합니다.",https://www.inflearn.com/course/플러터로-만드는-챗지피티-음성번역앱?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
"프로젝트로 배우는 Python 챗봇 & RAG - LangChain, Gradio 활용","파이썬 기본 문법과 라이브러리를 활용해서 나만의 AI 챗봇을 직접 만들어 보세요. PDF 문서 기반의 RAG 등 5개의 프로젝트를 단계별로 수행하고, 웹 서비스로 배포하는 과정을 학습합니다.",https://www.inflearn.com/course/프로젝트로-배우는-파이썬-챗봇만들기?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
[PY 0204] 인공지능을 위한 파이썬 레벨3 - 함수,"[인공지능을 위한 파이썬] 시리즈의 네 번째 강의입니다.
파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",https://www.inflearn.com/course/py-0204-파이썬-레벨3?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
1000만 Traffic을 견디며 적용한 RPC 통신에 대해 학습하고 구현해보기,"해당 강의에서는 실제 실무에서 사용을 하는 RPC, gRPC통신을 구현하여, 서버간 통신에 대한 리소스를 줄이는 방법에 대해서 다루게 됩니다.",https://www.inflearn.com/course/대용량-tps-대비-rpc-통신?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
MFC Windows 프로그래밍 - 기본,C/C++개발자라면 누구나 시작할 수 있습니다. 핵심만 골라서 빠르게 MFC 윈도우 프로그래밍을 배울 수 있습니다. 1200페이지 분량의 교재도 드립니다.,https://www.inflearn.com/course/mfc-programming-basic?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
"백엔드 취업을 위한 프로젝트 구조 와 데이터베이스 다루기 [MySQL, Mongo]","백엔드 취업을 준비하시는 취준생분들을 위한 MySQL, Mongo 두가지 DB를 활용한 백엔드 개발에 대한 내용입니다.",https://www.inflearn.com/course/서버개발-백엔드-mysql-mongodb?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
CAN통신 기초와 자동차 전체 구조,CAN 통신에 대해 학문적인 개념보다는 실무에 필요한 개념에 대해 담았습니다.,https://www.inflearn.com/course/can통신기초-자동차구조?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
실리콘밸리 엔지니어와 함께하는 아마존 웹서비스(Core)편,"시스템 디자인과 아키텍처 공부 어떻게 하실지 막막하신가요?
초보자부터 전문가까지 다양한 레벨의 학습자를 위한 아마존 웹 서비스(Amazon Web Service, AWS) 강의! AWS에서 가장 많이 사용하는 Core 서비스 부분을 집중적으로 다루었습니다.",https://www.inflearn.com/course/실리콘밸리-엔지니어-아마존-웹서비스-core?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
초보자도 쉽게 따라하는 블록체인 프로그래밍(코인제작포함),블록체인 프로그래밍과 스마트 컨트랙트의 개념과  특징을 이해하고 활용할 수 있습니다.,https://www.inflearn.com/course/블록체인-프로그래밍-코인제작?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
[리액트 2부] 고급 주제와 훅,리액트(React)는 실무에서 가장 많이 찾는 인기 프론트엔드 기술입니다. 리액트를 이용해 애플리케이션을 빠르게 개발하고 유지 보수 가능한 코드를 만들어 보세요.,https://www.inflearn.com/course/리액트-고급주제와-훅-2부?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
이득우의 언리얼 프로그래밍 Part3 - 네트웍 멀티플레이 프레임웍의 이해,"또 하나의 언리얼 엔진이라고도 불리는 네트웍 멀티플레이어 프레임웍을 학습합니다. 네트웍 멀티플레이어 게임을 제작할 때 반드시 알아야 하는 주요 개념, 내부 동작 원리, 최적화 기법을 학습한 후 핵&슬래시 유형의 PvP 대전 게임을 제작합니다.",https://www.inflearn.com/course/이득우-언리얼-프로그래밍-part-3?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
"네이버, 카카오 임직원들이 듣고 있는 비트코인 강의",비트코인에 대한 깊이 있는 이해를 할 수 있습니다.,https://www.inflearn.com/course/비트코인-백서-이해?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
실리콘밸리 엔지니어와 함께하는 Apache Airflow,소프트웨어 데이터 파이프라인을 만들 때 가장 많이 사용하는 Orchestrator(오케스트레이터)인 Apache Airflow(아파치 에어플로우)를 배우실 수 있습니다.,https://www.inflearn.com/course/실리콘밸리-엔지니어와-함께하는-apache-airflow?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
제대로 파는 자바 (Java) - by 얄코,"적당히 배워서는 살아남을 수 없는 시대. 자바, 한 번에 제대로 파서 마스터하세요!",https://www.inflearn.com/course/제대로-파는-자바?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
제품부터 시작하는 인우의 반도체 CHIP 회로설계 이야기,"반도체(CHIP) 회로설계 직무로 삼성전자/SK하이닉스/LX세미콘/현대모비스/팹리스 회사를 준비 중이라면, '이것' 모르시면 안 됩니다!",https://www.inflearn.com/course/제품부터-시작하는-반도체-회로설계?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
실무 중심!  FE 입문자를 위한 React,"강의를 모두 듣고 나면, 스스로 하나의 웹서비스를 개발할 수 있는 역량을 갖게 됩니다.",https://www.inflearn.com/course/리액트-실무서비스-제작하기?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
[입문자를 위한 UE5] Part5. 언리얼 엔진 VR,"언리얼 엔진 기반의 여러 가지 VR 기술을 학습하는 강의입니다. 
어디에도 공개되지 않은 언리얼 기반의 VR 기술들을 터득할 수 있습니다.",https://www.inflearn.com/course/언리얼5-개발의정석-5?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
"더 개발자, 커리어 가이드","동료와 팀, 더 나아가 회사에서 인정받고 더 많은 책임과 영향력을 갖고 일할 수 있는 개발자로 성장하고 싶다면? 
이 강의에서 여러분께 성장 노하우를 공유합니다.",https://www.inflearn.com/course/개발자-커리어-가이드?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
[라이브 멘토링] 유니티 뱀파이어 서바이벌 장르 모작,이 강의는 [뱀파이어 서바이벌 장르 모작] 라이브 멘토링 녹화본입니다. 뱀파이어 서바이벌 장르의 게임을 처음부터 만들어보면서 어떤 지식과 설계가 필요한지 순차적으로 밟아나갑니다.,https://www.inflearn.com/course/유니티-뱀파이어-서바이벌-모작?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
이득우의 언리얼 프로그래밍 Part2 - 언리얼 게임 프레임웍의 이해,"대기업 현업자들이 수강하는 언리얼 C++ 프로그래밍 전문 과정입니다. 
언리얼 C++ 프로그래밍을 사용해 핵&슬래시 로그라이크 게임 예제를 처음부터 끝까지 체계적으로 제작하는 방법을 알려드립니다.",https://www.inflearn.com/course/이득우-언리얼-프로그래밍-part-2?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
[게임 프로그래머 입문 올인원] C++ & 자료구조/알고리즘 & STL & 게임 수학 & Windows API & 게임 서버,"어디부터 시작할지 막막한 게임 프로그래밍 입문자를 위한 All-In-One 커리큘럼입니다.
C++, 자료구조/알고리즘, STL, 게임 수학, Windows API, 게임 서버 입문으로 이어지는
알찬 커리큘럼으로 게임 프로그래밍 기초를 폭넓게 공부합니다.",https://www.inflearn.com/course/게임-프로그래머-입문-올인원-rookiss?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
프로그래밍 시작하기 : 도전! 45가지 파이썬 기초 문법 실습 (Inflearn Original),"파이썬 기초 문법 지식을 기반으로 쉬운 예제부터 어려운 예제로 난이도를 높여갑니다.
이 과정에서 혼자서 학습하는 방법, 탄탄한 문법 지식 습득 및 기본기를 확실하게 다지게 될 거예요.
아울러, 파이썬 프로그래밍의 자주 사용하는 패턴을 배워봅니다.",https://www.inflearn.com/course/프로그래밍-파이썬-문법-실습-인프런-오리지널?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
실리콘밸리 엔지니어가 가르치는 파이썬 기초부터 고급까지,"실리콘밸리 소프트웨어 엔지니어에게 배우는 파이썬의 모든 것. 현재 14년차 소프트웨어 개발자로 웹 어플리케이션, 빅데이타 그리고 SRE & 데브옵스까지 파이썬으로 다 처리하고 있습니다. 파이썬의 기초부터 고급 기술까지, 실리콘 밸리 실무에서 파이썬을 사용하는 모든 스킬과 노하우를 배울 수 있는 기회를 절대 놓치지 마세요!",https://www.inflearn.com/course/실리콘밸리-파이썬-기초부터-고급까지?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
[입문자를 위한 UE5] Part3. 언리얼 엔진 3D 게임 개발 입문,"블루프린트를 이용해 간단한 TPS 게임을 제작하며
언리얼 엔진에서 제공하는 각종 기능들을 자연스럽게 학습하는 강의입니다.",https://www.inflearn.com/course/언리얼5-개발의정석-3?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
QGIS 파이썬 자동화 (벡터편) Ver.2,"파이썬과 GIS, 두 마리 토끼를 잡는 건 물론! 
둘을 함께 사용한 자동화 방법까지 배우는 실속형 강의입니다.",https://www.inflearn.com/course/파이썬-qgis-자동화?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
퍼블리셔 개인 포트폴리오 홈페이지 제작 완벽 가이드(PDF),"취업을 위해 면접을 자주 봐야 합니다. 면접을 자주 보기 위해서는 괜찮은 퍼블리셔 개인 포트폴리오 홈페이지가 반드시 있어야 합니다. 코딩웍스가 심혈을 기울여 만든 괜찮은 개인 포트폴리오 홈페이지 제작 가이드 교재(PDF)입니다.
해당 교재는 인터넷에서 구글링 해서 구할 수 있는 내용이 아닙니다. 코딩웍스가 수년간 현장에서 300여 명의 학생에게 퍼블리싱 이론, 실전, 개인 포트폴리오 홈페이지 제작 강의하고 학생들이 빨리 원하는 회사에 취업할 수 있도록 개인 포트폴리오 홈페이지 제작 방법을 상세하게 담은 세상에 하나뿐인 퍼블리셔 취업 개인 포트폴리오 홈페이지 제작 가이드(PDF) 입니다.",https://www.inflearn.com/course/퍼블리셔-개인-포트폴리오-전자책?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
퀀트 투자를 위한 파이썬 트레이딩룸 만들기 - Part 2,"파이썬(Python)을 활용해 실전 투자에 도움이 될만한 도구를 만들고 싶으신가요? 이 강의에서는 파이썬 중급자를 대상으로 금융데이터 분석을 위한 인터랙티브 웹 대시보드를 만들어 보며, 심도있는 계량화 작업을 위한 페어 트레이딩 전략에 대해 학습해 봅니다. 여러분들만의 유용한 분석도구를 만들어 금융데이터를 더욱 강력하게 분석하고, 현명한 투자 결정을 내리는데 도움이 되기를 바라겠습니다.",https://www.inflearn.com/course/파이썬-트레이딩룸-파트2?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
면접으로 직행하는 데이터 분석가 이력서 [월간 데이터리안 세미나 다시보기 | 2022년 2월],데이터 분석가가 구직할 때 썼던 이력서 직접 본 적 있으세요? 비전공자로 취뽀한 분석가들이 알려주는 이력서 작성 팁! 여기 다 있습니다.,https://www.inflearn.com/course/월간-데이터리안-2월?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
"최고의 프론트엔드 CSS Frameworks, UIkit","부트스트랩(Bootstrap)과 함께 대표적인 CSS Frameworks인 UIkit을 기초부터 활용까지 체계적으로 배우실 수 있습니다. 퍼블리셔 취업을 위해 잘 만들어진 개인 포트폴리오 홈페이지가 반드시 필요합니다. 개인 포트폴리오 홈페이지에서 포트폴리오 결과물을 세련되게 보여주기 위해 Slideshow, Slider, Lightbox, Full Screen Modal, Filter 등 UIkit 컴포넌트의 상세한 사용법과 실전 제작에 활용하는 퍼블리싱 스킬과 노하우를 배울 수 있습니다.",https://www.inflearn.com/course/css-프레임워크-uikit-코딩웍스?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
언리얼 엔진4 입문 (C++ 기반),"언리얼 엔진을 아예 처음 사용하는 분들을 대상으로,
UE5로 넘어가기 위해 알고 가면 좋은 UE4 기초를 다룹니다.",https://www.inflearn.com/course/언리얼-엔진4-입문?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
게임 프로그래머 취업 전략 가이드,"게임 프로그래머 초봉 6000만원 시대!
무엇을 어떻게 공부할지 막막한 분들을 위해,
게임 업계 및 채용 절차에 대한 생생한 이야기를 준비했습니다.",https://www.inflearn.com/course/게임-프로그래머-취업?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
[입문] Qt 6 프로그래밍 2편,이번 강의는 Qt 프로그래밍 1편에 이어서 2편 강의 입니다. Qt를 처음 접하시는 분들은 1편을 먼저 학습하시고 2편을 학습하는 것을 권장합니다.,https://www.inflearn.com/course/qt6-프로그래밍-2?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
AWS(Amazon Web Service) 중/상급자를 위한 강의,AWS 입문자를 위한 강의를 마쳤지만 아직 2% 부족하다? AWS에 대해 많이 알고 있다고 생각했지만 아직 조금 더 다듬어야 할 부분이 있다? AWS 중/상급자를 위한 강의로 그 2%를 메꿔보자! Data Engineer Expert가 되는 그날까지!,https://www.inflearn.com/course/aws-중상급자?attributionToken=ChI4NjE4NDM4MzQwNjcyMDc5MTAQDRojcmVjb21tZW5kZV9yZWNvbW1lbmRlXzE3MDI1MjY0MzQwNjYiF3JlY29tbWVuZGVkLWZvci15b3UtY3ZyKAA6LLLx0RL38dESqfLREvPRhBKM8tEStPHREo_y0RL68dESrfLRErvy0RK-8tES
