과목명,강의 내용,상세 URL,이미지 URL
"(2024 9월 개정판) ChatGPT 활용법, 생성 AI 프롬프트 엔지니어링 A to Z - 인공지능의 이해와 활용",나도 아이언맨의 완벽 비서 자비스가 있었으면…하고 생각했던 적이 있었다면?! 여러분의 현명한 일처리를 도와줄 모두의 자비스를 완성하세요!,https://www.inflearn.comhttps://www.inflearn.com/course/chatgpt활용법-프롬프트엔지니어링-인공지능?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/330858/cover/7bef59a0-84d2-47a2-a45d-187f77be74a8/330858-eng.jpg?w=420
데이터 실험 문화의 핵심: A/B 테스트 [월간 데이터리안 세미나 다시보기 | 2022년 11월],"A/B 테스트란 무엇인지, 다른 회사에서는 어떻게 실험하고 있는지 궁금하셨다면 이번 11월 세미나를 들어보세요!",https://www.inflearn.comhttps://www.inflearn.com/course/월간-데이터리안-11월?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/329680/cover/13a4e12e-374a-445b-bf3e-a4282e2ead29/329680-eng.png?w=420
이펙티브 자바 완벽 공략 2부,자바 학습의 끝판왕 “이펙티브 자바”를 보다 쉽고 완벽하게 학습하세요. 이 강의를 수강하시면 여러분의 자바 프로그래밍 지식과 실력뿐 아니라 학습 능력 또한 향상시킬 수 있습니다.,https://www.inflearn.comhttps://www.inflearn.com/course/이펙티브-자바-2?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/329668/cover/c7960ef1-9644-4512-a61e-7bc94451d31d/329668-eng.png?w=420
NFT 만들며 배우는 블록체인과 웹3 기초,NFT를 직접 만들면서 블록체인과 웹3의 기초적인 내용을 학습할 수 있습니다.,https://www.inflearn.comhttps://www.inflearn.com/course/nft-블록체인-웹3-기초?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/329314/cover/63186128-e411-4b87-9d5e-282cc1bf26f3/329314-eng-resize.png?w=420
인프콘 2022 다시보기,"인프런의 첫 오프라인 콘퍼런스, 인프콘 2022에서 진행된 오프닝 및 발표 세션을 영상으로 다시 보실 수 있습니다.",https://www.inflearn.comhttps://www.inflearn.com/course/infcon2022?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/329211/cover/ea485515-6665-4e5c-acd7-157c2b8b08f3/infcon-apply-main.png?w=420
3D 모델링 입문을 위한 라이노(Rhino) '꿀팁' Part.1,입문하기 어려운 3D 모델링..? 막혀서 진행이 안되는 모델링..?  첫 입문을 위한 '꿀팁' 라이노면 실력향상 OK! 답답하고 피드백 없는 수업..? 👉 온라인 강의에 피드백을 더하다! (고민하지 말고 질문하세요!)👍🙆‍♀,https://www.inflearn.comhttps://www.inflearn.com/course/입문-꿀팁-라이노-제품-모델링-1?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/329059/cover/ee8f220e-c86e-4061-aecc-ae9262c949a6/329059.png?w=420
"설득의 시작, 데이터 제대로 보여주는 법 [월간 데이터리안 세미나 다시보기 | 2022년 5월]","데이터로 남을 설득하는 데에 어려움이 있으신가요? 구글 스프레드시트로 간단하게, 또 강력하게 데이터를 보여주는 방법을 배워보세요!",https://www.inflearn.comhttps://www.inflearn.com/course/월간-데이터리안-5월?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/328747/cover/06eb77cf-cbdd-4405-aba0-8c63d0ee5b8a/328747-eng.png?w=420
"Vue3 완벽 마스터: 기초부터 실전까지 - ""실전편""","Vue.js 3로 실전 프로젝트를 개발하며 Composition API의 사용법을 숙지합니다. 뿐만 아니라 본 강좌를 수강하면 ""Vue Router v4""와 ""Pinia"", ""Boostrap""에 대한 기술을 가져가실 수 있습니다.",https://www.inflearn.comhttps://www.inflearn.com/course/vue-완벽-실전?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/329014/cover/7b34f7f1-af69-4d40-91b5-9518f7447fb5/329014.png?w=420
수학으로부터 인류를 자유롭게 하라(미적분학 Part.I) - 미분,"함수의 극한, 도함수, 미분법, 도함수 공식, 미분의 활용",https://www.inflearn.comhttps://www.inflearn.com/course/미적분학-미분-1?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/328611/cover/ef555476-839e-4ffe-b383-74948df417d5/328611-eng.png?w=420
[입문] UX 면접 사례로 본 UX 디자인과 UX 리서치,"UX 디자인 개념, UX 디자인 프로세스, UX 리서치 방법에 대해 알아봐요.",https://www.inflearn.comhttps://www.inflearn.com/course/ux-디자인-ux-리서치?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/328524/cover/00c93026-24b9-4372-ac16-ae3697142f03/328524-eng.png?w=420
유니티 머신러닝 에이전트 완전정복 (기초편),이 강의를 통해 수강생은 다양한 강화학습의 이론을 학습하고 이를 직접 구현해 볼 뿐만 아니라 유니티 머신러닝 에이전트를 이용하여 구현한 강화학습 알고리즘을 테스트해볼 강화학습 환경까지 직접 제작해볼 수 있습니다.,https://www.inflearn.comhttps://www.inflearn.com/course/유니티-머신러닝-에이전트-기초?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/325805/cover/bf27104c-635f-4c59-8a4c-5f7ab822129f/325805.png?w=420
"입문자를 위한, ES6+ 최신 자바스크립트 입문","주변에서 코딩을 처음 시작하시는 분들을 많이 봤어요.
경력자 분들은 자바스크립트가 쉽다고 하지만 처음 접하시는 분들은 어렵게 느낄 수 밖에 없습니다.
그래서 이번 강의는 코딩에 입문하시는 왕초보 분들을 위해 쉽고! 알찬! 내용을 준비했습니다. 💪🙂",https://www.inflearn.comhttps://www.inflearn.com/course/왕초보-자바스크립트-입문?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/328343/cover/90ac8dfa-6088-4abf-80de-3c34d1eaf52c/328343.png?w=420
금융데이터 분석을 위한 판다스 활용법,엑셀 대신 파이썬 판다스(Pandas)로 데이터 분석을 더 쉽고 효과적으로 할 수 있다는 사실! 판다스 라이브러리의 기본적인 기능과 실무 활용 방법을 금융데이터 분석을 통해 학습해 봅니다.,https://www.inflearn.comhttps://www.inflearn.com/course/금융데이터-판다스-활용?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/328179/cover/9ebbb159-0527-4c27-85b1-fc4eefa4e3ff/328179-eng.png?w=420
10주완성 C++ 코딩테스트 | 알고리즘 코딩테스트,"네이버, 카카오, 삼성의 코딩테스트를 10주만에 합격시킨 최고의 코딩테스트 강의!",https://www.inflearn.comhttps://www.inflearn.com/course/10주완성-코딩테스트-큰돌?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/326485/cover/830bce1a-023d-45ff-a0d1-883bc9074b9a/326485-eng.png?w=420
C++20 훑어보기,"C++20에 새로 추가된 핵심 문법들이
장기적으로 게임에서 어떻게 응용될 수 있을지 
고민을 해보면서 차근차근 알아봅니다.",https://www.inflearn.comhttps://www.inflearn.com/course/씨쁠쁠-20-훑어보기?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/327685/cover/47478ddc-2f64-4752-9690-20d9e6ba284d/327685-eng.jpg?w=420
하루만에 Cypress로 작성하는 자바스크립트 E2E 테스트 코드,"프론트엔드는 사용자와의 접점이 이루어지는 곳이기 때문에 개발자의 입장이 아닌, 사용자의 입장에서의 테스트가 매우 중요합니다. E2E테스트를 통해 사용자 시나리오가 정상적으로 동작하는지 검증해보고 내 코드에 대해 두려움에서 자신감을 가지는 경험을 해보세요!",https://www.inflearn.comhttps://www.inflearn.com/course/싸이프레스-테스트?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/327991/cover/e3589cbb-7502-4c72-a665-72ec33d59173/인프런 썸네일.png?w=420
게임 엔진을 지탱하는 게임 수학,"게임을 구성하는 가상 세계가 수학으로 어떻게 만들어지는지 기반에서부터 하나씩 다루는 강의입니다. 
기반 수학을 통해 게임 엔진의 구성 원리를 이해하고, 3차원 공간을 구성하는 실질적인 게임 수학을 학습합니다.",https://www.inflearn.comhttps://www.inflearn.com/course/게임-수학-게임엔진?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/327690/cover/394eb9c5-fb09-4c9a-b7f0-c8732970706d/327690-eng.png?w=420
언리얼 엔진4 입문 (C++ 기반),"언리얼 엔진을 아예 처음 사용하는 분들을 대상으로,
UE5로 넘어가기 위해 알고 가면 좋은 UE4 기초를 다룹니다.",https://www.inflearn.comhttps://www.inflearn.com/course/언리얼-엔진4-입문?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/327457/cover/c81beca2-0112-47f9-830e-7739a7cb4a2d/327457-eng.png?w=420
[입문] Qt 6 프로그래밍 2편,이번 강의는 Qt 프로그래밍 1편에 이어서 2편 강의 입니다. Qt를 처음 접하시는 분들은 1편을 먼저 학습하시고 2편을 학습하는 것을 권장합니다.,https://www.inflearn.comhttps://www.inflearn.com/course/qt6-프로그래밍-2?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/326823/cover/9c839f33-d59f-422a-9704-64534673a39c/커버이미지_Qt 6 프로그래밍_2편.png?w=420
[백문이불여일타] 데이터 분석을 위한 SQL 실전편 (무료 미니 코스),"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 실무 강의. 
SQL은 실무에서 어떻게 활용되고 있을까요? Microsoft의 Yammer 서비스의 실제 데이터를 이용하여 문제를 해결하는 데이터 분석가가 되어봅시다.",https://www.inflearn.comhttps://www.inflearn.com/course/데이터-분석-sql-실전?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/326716/cover/e4917b63-2f4e-4607-953a-b1cdf8bb1a67/326716-eng.png?w=420
현업 실무자에게 배우는 Kaggle 머신러닝 입문 - ML 엔지니어 실무 꿀팁,"다양한 Kaggle 예제를 통해 머신러닝(Machine Learning) 기초부터 차근차근 학습하고,
쉽게 접하기 힘든 현업 머신러닝 엔지니어의 생생한 프로젝트 경험담 및 실무 꿀팁까지 한번에 배워보세요.",https://www.inflearn.comhttps://www.inflearn.com/course/캐글-머신러닝-입문?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/326665/cover/d1597148-a981-4b83-ae5b-6538a26ff528?w=420
UX/UI 시작하기 : UX 개념 (Inflearn Original),"UX(User Experience, 사용자 경험)의 개념에 대해 익히고, 오늘날 UX 디자인 프로세스 및 디자인 트렌드를 살펴보며 UX/UI에 대한 개념을 전반적으로 학습해 봅니다.",https://www.inflearn.comhttps://www.inflearn.com/course/ux-개념-인프런-오리지널?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/326391/cover/750e846b-96d3-4aa5-ab18-a94d099692df?w=420
[백문이불여일타] 데이터 분석을 위한 고급 SQL 문제풀이,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 고급 문제풀이 강의. 
SQL 고급 내용을 연습해 볼 수 있는 여러 문제를 함께 풀어봅니다.",https://www.inflearn.comhttps://www.inflearn.com/course/sql-고급-문제풀이?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/325499/cover/460d66f6-bc5a-4547-b054-0d7be177bc31/sql_advanced_practices.png?w=420
배워서 바로 쓰는 SQL 쿼리,개발자의 도움 없이 직접 원하는 데이터를 추출할 수 있게 됩니다. 간단한 쿼리부터 Join까지 분석에 필요한 모든 내용을 부담없이 담겠습니다.,https://www.inflearn.comhttps://www.inflearn.com/course/실무-sql?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/325313/cover/d0ae99dd-3012-4a2e-a1cd-b7c459a75238/325313-eng-2.png?w=420
[백문이불여일타] 데이터 분석을 위한 중급 SQL 문제풀이,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 SQL 중급 문제풀이 강의. 
SQL 중급 이론 내용을 연습해 볼 수 있는 여러 문제를 함께 풀어봅니다.",https://www.inflearn.comhttps://www.inflearn.com/course/sql-중급-문제풀이?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/325731/cover/e850d94c-cae2-47bc-8758-f7aa3a33982b/sql_intermediate_practices.png?w=420
퍼블리셔 취업 진짜 실전 가이드(PDF),"퍼블리셔 취업을 위한 진짜 가이드 전자책(PDF)으로 효율적인 퍼블리싱 학습방법, 좋은 퍼블리싱 강의 잘 가르치는 퍼블리싱 강사 고르는 안목, 신입이지만 경력자처럼 퍼블리싱하는 요령, 바람직한 코딩 습관과 원칙, 개인 포트폴리오 홈페이지 제작 방법, 디자이너 개발자와의 협업 요령, 퍼블리셔로 알아야 할 필수 사이트, 포토샵 UI 디자인 실력키우기 등 퍼블리셔 취업을 위해 반드시 알아야 하는 HTML+CSS+JQUERY 퍼블리싱 기본기를 상세하게 알려드립니다. 또한, 국비지원 퍼블리셔 과정에 대해 상세히 설명합니다.",https://www.inflearn.comhttps://www.inflearn.com/course/퍼블리셔-취업-가이드?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/course-325982-cover/8b120ba4-43ce-4e16-b26e-53d3231867d2?w=420
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part8: Entity Framework Core,"원활한 데이터베이스 연동을 위해 .NET ORM인 
Entity Framework Core에 대해 학습하는 강의입니다.",https://www.inflearn.comhttps://www.inflearn.com/course/유니티-mmorpg-개발-part8?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/course-325822-cover/6dc2e340-cba4-4d88-b313-3233d3e5c3a0?w=420
플렉스(Flex) 반응형 웹사이트 포트폴리오(The World's Best Cities),플렉스(Flex) 반응형 웹사이트 퍼블리싱 제작과정을 통해 퍼블리싱 중급 실력으로 가는 기본기를 단단히 할 수 있습니다. 또한 플렉스(Flex) 기초부터 응용 나아가 실전 UI 제작 강의가 충실합니다. 플렉스(Flex) 이론과 실전예제 그리고 반응형 웹사이트 제작과정이 20시간 이상으로 실전 경험 못지 않은 실력과 자신감을 갖게 됩니다.,https://www.inflearn.comhttps://www.inflearn.com/course/플렉스-반응형웹-포트폴리오?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/course-325884-cover/52b98ccd-7b1d-4d96-a9ec-40d5b4007a74?w=420
AWS(Amazon Web Service) 입문자를 위한 강의,요즈음 회사 및 다양한 프로젝트에서 종종 사용되는 AWS 서비스들의 핵심 이론을 배우며 뿐만 아니라 함께 따라하는 실습을 통하여 AWS를 온전히 내것으로 만들자!,https://www.inflearn.comhttps://www.inflearn.com/course/aws-입문?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/325381/course_cover/54a565ce-7fe6-499e-81f4-049a33413d84/aws-basic-eng.png?w=420
C# 프로그래밍 기초,"본 강좌는 C# 문법 위주로 구성되어있지 않습니다. 클래스를 이해하고 만드는 요령 위주로 구성되어 있습니다.
기초 문법도 다루지만 많은 예제를 가지고 진행하기 때문에 프로그램 실전 작성 요령 강의가 많이 포함되어 있습니다.",https://www.inflearn.comhttps://www.inflearn.com/course/c-sharp-씨샵-기초?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/324413/course_cover/6812112a-96bb-4e54-a1ec-0bb121c01742/lgj_C.png?w=420
"트렐로 개발로 배우는 Vuejs, Vuex, Vue-Router 프론트엔드 실전 기술","다른 웹 어플리케이션을 내 손으로 구현하는 과정을 통해 Vuejs의 중급 기술 (Vuex, Vue-Router, Http)을 학습할 수 있습니다. 퍼블리싱 결과물, API 서버와 문서하는 등을 미리 구성했기에 협업하는 방법도 체험하실 수 있는 강의입니다.",https://www.inflearn.comhttps://www.inflearn.com/course/vuejs?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/wp-content/uploads/kjh_Vuejs-3.jpg?w=420
홍정모의 따라하며 배우는 C++,만약 C++를 쉽게 배울 수 있다면 배우지 않을 이유가 있을까요? 성공한 프로그래머로써의 경력을 꿈꾸지만 지금은 당장 하루하루 마음이 초조할 뿐인 입문자 분들을 돕기 위해 친절하고 자세하게 설명해드리는 강의입니다. 초보로 시작하더라도 중급을 넘어 고급 프로그래머로 가는 길목에 들어서고 싶으시다면 최고의 디딤돌이 되어드리겠습니다. 여러분의 꿈을 응원합니다!,https://www.inflearn.comhttps://www.inflearn.com/course/following-c-plus?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/wp-content/uploads/C_hjm2-1.jpg?w=420
AI 리더십: 창의력과 데이터가 만나는 리더십의 미래,"프로그램 개발자 출신의 경영학자이자, 창의적 조직 HR 전문가인 [AI 리더십] 저자가 쉽게 풀어주는 강의",https://www.inflearn.comhttps://www.inflearn.com/course/ai리더십-창의력-데이터?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/334887/cover/c6735df1-a136-4bfa-953d-dd425b575e5b/334887.png?w=420
UX 입문자들 모여라! 1시간에 끝내는 UX 포트폴리오 강의,IT 회사 디자이너로 취업하는데 필수 역량인 UX와 포트폴리오 제작법을 영상과 PDF에 담았어요.,https://www.inflearn.comhttps://www.inflearn.com/course/ux-입문-1시간?attributionToken=ChQxNDA1NTkwNTY0NjY2MjAxMDUzORANGiNyZWNvbW1lbmRlX3JlY29tbWVuZGVfMTcwMjUyNjQzNDA2NiIXcmVjb21tZW5kZWQtZm9yLXlvdS1jdnIoADossvHREvfx0RK08dESu_LREozy0RKp8tESj_LREvrx0RKt8tESvvLREvPRhBI,https://cdn.inflearn.com/public/courses/335035/cover/9f39860b-299b-48ee-b68d-26312153c8b1/335035.png?w=420
